Branch predictor accuracy simulation start
mem file: D:/riscv32_pipeline/riscv32_pipeline.ip_user_files/mem_init_files/coremark_uart.mem
cycle,pc_ex,pc_if,pc_id,actual_kind,actual_taken,predicted_taken,correct,risk_ctrl,bht_hit,btb_hit,bht_jump
11,0000001c,00000024,00000020,B,0,0,1,0,0,0,0
15,00000028,00000030,0000002c,J,1,0,0,1,0,0,0
20,0000001c,00000024,00000020,B,0,0,1,0,0,0,0
24,00000028,00000030,0000002c,J,1,0,0,1,0,1,0
29,0000001c,00000024,00000020,B,0,0,1,0,0,0,0
33,00000028,00000030,0000002c,J,1,0,0,1,0,1,0
38,0000001c,00000024,00000020,B,0,0,1,0,0,0,0
42,00000028,00000030,0000002c,J,1,0,0,1,0,1,0
47,0000001c,00000024,00000020,B,0,0,1,0,0,0,0
51,00000028,00000030,0000002c,J,1,0,0,1,0,1,0
56,0000001c,00000024,00000020,B,0,0,1,0,0,0,0
60,00000028,00000030,0000002c,J,1,0,0,1,0,1,0
65,0000001c,00000024,00000020,B,1,0,0,1,0,0,0
70,0000002c,00000034,00000030,J,1,0,0,1,0,0,0
118,00000880,00000000,00000000,J,1,0,0,1,0,0,0
131,000020dc,00000000,00000000,J,1,0,0,1,0,0,0
180,000024d0,000024d8,000024d4,B,0,0,1,0,0,0,0
194,00002508,00002510,0000250c,B,0,0,1,0,0,0,0
203,0000251c,00002524,00002520,B,1,0,0,1,0,0,0
209,00002508,00002510,0000250c,B,0,0,1,0,0,0,0
218,0000251c,00002524,00002520,B,1,0,0,1,0,0,0
224,00002508,00002510,0000250c,B,0,0,1,0,0,0,0
233,0000251c,00002524,00002520,B,1,0,0,1,0,0,0
239,00002508,00002510,0000250c,B,0,0,1,0,0,0,0
248,0000251c,00002524,00002520,B,1,0,0,1,0,0,0
254,00002508,00002510,0000250c,B,0,0,1,0,0,0,0
263,0000251c,00002524,00002520,B,1,0,0,1,0,0,0
269,00002508,00002510,0000250c,B,0,0,1,0,0,0,0
278,0000251c,00002524,00002520,B,1,0,0,1,0,0,0
284,00002508,00002510,0000250c,B,0,0,1,0,0,0,0
293,0000251c,00002524,00002520,B,1,0,0,1,0,0,0
299,00002508,00002510,0000250c,B,0,0,1,0,0,0,0
308,0000251c,00002524,00002520,B,1,0,0,1,0,0,0
314,00002508,00002510,0000250c,B,0,0,1,0,0,0,0
323,0000251c,00002524,00002520,B,1,0,0,1,0,0,0
