Branch predictor accuracy simulation start
mem file: D:/riscv32_pipeline_cache/riscv32_pipeline.ip_user_files/mem_init_files/coremark_uart.mem
cycle,pc_ex,pc_if,pc_id,actual_kind,actual_taken,predicted_taken,correct,risk_ctrl,bht_hit,btb_hit,bht_jump
11,0000001c,00000024,00000020,B,0,0,1,0,0,0,0
15,00000028,00000000,00000000,J,1,1,1,0,0,0,0
18,0000001c,00000024,00000020,B,0,0,1,0,0,0,0
22,00000028,00000000,00000000,J,1,1,1,0,0,0,0
25,0000001c,00000024,00000020,B,0,0,1,0,0,0,0
29,00000028,00000000,00000000,J,1,1,1,0,0,0,0
32,0000001c,00000024,00000020,B,0,0,1,0,0,0,0
36,00000028,00000000,00000000,J,1,1,1,0,0,0,0
39,0000001c,00000024,00000020,B,0,0,1,0,0,0,0
43,00000028,00000000,00000000,J,1,1,1,0,0,0,0
46,0000001c,00000024,00000020,B,0,0,1,0,0,0,0
50,00000028,00000000,00000000,J,1,1,1,0,0,0,0
53,0000001c,00000024,00000020,B,1,0,0,1,0,0,0
58,0000002c,00000000,00000000,J,1,1,1,0,0,0,0
104,00000880,000020c4,00000000,J,1,1,1,0,0,0,0
115,000020dc,00002474,00000000,J,1,1,1,0,0,0,0
162,000024d0,000024d8,000024d4,B,0,0,1,0,0,0,0
176,00002508,00002510,0000250c,B,0,0,1,0,0,0,0
185,0000251c,00000000,00000000,B,1,1,1,0,0,0,0
189,00002508,00002510,0000250c,B,0,0,1,0,0,0,0
198,0000251c,00000000,00000000,B,1,1,1,0,0,0,0
202,00002508,00002510,0000250c,B,0,0,1,0,0,0,0
211,0000251c,00000000,00000000,B,1,1,1,0,0,0,0
215,00002508,00002510,0000250c,B,0,0,1,0,0,0,0
224,0000251c,00000000,00000000,B,1,1,1,0,0,0,0
228,00002508,00002510,0000250c,B,0,0,1,0,0,0,0
237,0000251c,00000000,00000000,B,1,1,1,0,0,0,0
241,00002508,00002510,0000250c,B,0,0,1,0,0,0,0
250,0000251c,00000000,00000000,B,1,1,1,0,0,0,0
254,00002508,00002510,0000250c,B,0,0,1,0,0,0,0
263,0000251c,00000000,00000000,B,1,1,1,0,0,0,0
267,00002508,00002510,0000250c,B,0,0,1,0,0,0,0
276,0000251c,00000000,00000000,B,1,1,1,0,0,0,0
280,00002508,00002510,0000250c,B,0,0,1,0,0,0,0
289,0000251c,00000000,00000000,B,1,1,1,0,0,0,0
293,00002508,00002510,0000250c,B,0,0,1,0,0,0,0
302,0000251c,00000000,00000000,B,1,1,1,0,0,0,0
306,00002508,00002510,0000250c,B,0,0,1,0,0,0,0
315,0000251c,00000000,00000000,B,1,1,1,0,0,0,0
319,00002508,00002510,0000250c,B,0,0,1,0,0,0,0
328,0000251c,00000000,00000000,B,1,1,1,0,0,0,0
332,00002508,00002510,0000250c,B,0,0,1,0,0,0,0
341,0000251c,00000000,00000000,B,1,1,1,0,0,0,0
345,00002508,00002510,0000250c,B,0,0,1,0,0,0,0
354,0000251c,00000000,00000000,B,1,1,1,0,0,0,0
358,00002508,00002510,0000250c,B,0,0,1,0,0,0,0
367,0000251c,00000000,00000000,B,1,1,1,0,0,0,0
371,00002508,00002510,0000250c,B,0,0,1,0,0,0,0
380,0000251c,00000000,00000000,B,1,1,1,0,0,0,0
384,00002508,00002510,0000250c,B,0,0,1,0,0,0,0
393,0000251c,00000000,00000000,B,1,1,1,0,0,0,0
397,00002508,00002510,0000250c,B,0,0,1,0,0,0,0
406,0000251c,00000000,00000000,B,1,1,1,0,0,0,0
410,00002508,00002510,0000250c,B,0,0,1,0,0,0,0
419,0000251c,00000000,00000000,B,1,1,1,0,0,0,0
423,00002508,00002510,0000250c,B,0,0,1,0,0,0,0
432,0000251c,00000000,00000000,B,1,1,1,0,0,0,0
436,00002508,00002510,0000250c,B,0,0,1,0,0,0,0
445,0000251c,00000000,00000000,B,1,1,1,0,0,0,0
449,00002508,00002510,0000250c,B,0,0,1,0,0,0,0
458,0000251c,00000000,00000000,B,1,1,1,0,0,0,0
462,00002508,00002510,0000250c,B,0,0,1,0,0,0,0
471,0000251c,00000000,00000000,B,1,1,1,0,0,0,0
475,00002508,00002510,0000250c,B,0,0,1,0,0,0,0
484,0000251c,00000000,00000000,B,1,1,1,0,0,0,0
488,00002508,00002510,0000250c,B,0,0,1,0,0,0,0
497,0000251c,00000000,00000000,B,1,1,1,0,0,0,0
501,00002508,00002510,0000250c,B,0,0,1,0,0,0,0
510,0000251c,00000000,00000000,B,1,1,1,0,0,0,0
514,00002508,00002510,0000250c,B,0,0,1,0,0,0,0
523,0000251c,00000000,00000000,B,1,1,1,0,0,0,0
527,00002508,00002510,0000250c,B,0,0,1,0,0,0,0
536,0000251c,00000000,00000000,B,1,1,1,0,0,0,0
540,00002508,00002510,0000250c,B,0,0,1,0,0,0,0
549,0000251c,00000000,00000000,B,1,1,1,0,0,0,0
553,00002508,00002510,0000250c,B,0,0,1,0,0,0,0
562,0000251c,00000000,00000000,B,1,1,1,0,0,0,0
566,00002508,00002510,0000250c,B,0,0,1,0,0,0,0
575,0000251c,00000000,00000000,B,1,1,1,0,0,0,0
579,00002508,00002510,0000250c,B,0,0,1,0,0,0,0
588,0000251c,00000000,00000000,B,1,1,1,0,0,0,0
592,00002508,00002510,0000250c,B,0,0,1,0,0,0,0
601,0000251c,00000000,00000000,B,1,1,1,0,0,0,0
605,00002508,00002510,0000250c,B,0,0,1,0,0,0,0
614,0000251c,00000000,00000000,B,1,1,1,0,0,0,0
618,00002508,00002510,0000250c,B,0,0,1,0,0,0,0
627,0000251c,00000000,00000000,B,1,1,1,0,0,0,0
631,00002508,00002510,0000250c,B,0,0,1,0,0,0,0
640,0000251c,00000000,00000000,B,1,1,1,0,0,0,0
644,00002508,00002510,0000250c,B,0,0,1,0,0,0,0
653,0000251c,00000000,00000000,B,0,1,0,1,0,0,0
663,00002528,00002530,0000252c,B,0,0,1,0,0,0,0
670,0000253c,00002544,00002540,B,0,0,1,0,0,0,0
675,00002548,00000000,00000000,B,0,1,0,1,0,0,0
683,00002554,00000000,00000000,B,1,1,1,0,0,0,0
689,0000253c,00002544,00002540,B,1,0,0,1,0,0,0
695,00002668,00000000,00000000,J,1,1,1,0,0,0,0
705,00002440,00002448,00002444,B,0,0,1,0,0,0,0
711,00002450,00000000,00000000,B,0,1,0,1,0,0,0
723,00002464,0000246c,00002468,J,1,0,0,1,0,0,0
728,0000266c,00000000,00000000,J,1,1,1,0,0,0,0
735,00002548,00002550,0000254c,B,0,0,1,0,0,0,0
739,00002554,00000000,00000000,B,1,1,1,0,0,0,0
745,0000253c,00002544,00002540,B,0,0,1,0,0,0,0
750,00002548,00002550,0000254c,B,0,0,1,0,0,0,0
754,00002554,00000000,00000000,B,1,1,1,0,0,0,0
760,0000253c,00002544,00002540,B,0,0,1,0,0,0,0
765,00002548,00002550,0000254c,B,0,0,1,0,0,0,0
769,00002554,00000000,00000000,B,1,1,1,0,0,0,0
775,0000253c,00002544,00002540,B,0,0,1,0,0,0,0
780,00002548,00002550,0000254c,B,0,0,1,0,0,0,0
784,00002554,00000000,00000000,B,1,1,1,0,0,0,0
790,0000253c,00002544,00002540,B,0,0,1,0,0,0,0
795,00002548,00002550,0000254c,B,0,0,1,0,0,0,0
799,00002554,00000000,00000000,B,1,1,1,0,0,0,0
805,0000253c,00002544,00002540,B,0,0,1,0,0,0,0
810,00002548,00002550,0000254c,B,0,0,1,0,0,0,0
814,00002554,00000000,00000000,B,1,1,1,0,0,0,0
820,0000253c,00002544,00002540,B,0,0,1,0,0,0,0
825,00002548,00002550,0000254c,B,0,0,1,0,0,0,0
829,00002554,00000000,00000000,B,1,1,1,0,0,0,0
835,0000253c,00002544,00002540,B,0,0,1,0,0,0,0
840,00002548,00002550,0000254c,B,0,0,1,0,0,0,0
844,00002554,00000000,00000000,B,1,1,1,0,0,0,0
850,0000253c,00002544,00002540,B,0,0,1,0,0,0,0
855,00002548,00002550,0000254c,B,0,0,1,0,0,0,0
859,00002554,00000000,00000000,B,1,1,1,0,0,0,0
865,0000253c,00002544,00002540,B,0,0,1,0,0,0,0
870,00002548,00002550,0000254c,B,0,0,1,0,0,0,0
874,00002554,00000000,00000000,B,1,1,1,0,0,0,0
880,0000253c,00002544,00002540,B,0,0,1,0,0,0,0
885,00002548,00002550,0000254c,B,0,0,1,0,0,0,0
889,00002554,00000000,00000000,B,1,1,1,0,0,0,0
895,0000253c,00002544,00002540,B,0,0,1,0,0,0,0
900,00002548,00002550,0000254c,B,0,0,1,0,0,0,0
904,00002554,00000000,00000000,B,1,1,1,0,0,0,0
910,0000253c,00002544,00002540,B,0,0,1,0,0,0,0
915,00002548,00002550,0000254c,B,0,0,1,0,0,0,0
919,00002554,00000000,00000000,B,1,1,1,0,0,0,0
925,0000253c,00002544,00002540,B,0,0,1,0,0,0,0
930,00002548,00002550,0000254c,B,0,0,1,0,0,0,0
934,00002554,00000000,00000000,B,1,1,1,0,0,0,0
940,0000253c,00002544,00002540,B,0,0,1,0,0,0,0
945,00002548,00002550,0000254c,B,0,0,1,0,0,0,0
949,00002554,00000000,00000000,B,1,1,1,0,0,0,0
955,0000253c,00002544,00002540,B,0,0,1,0,0,0,0
960,00002548,00002550,0000254c,B,0,0,1,0,0,0,0
964,00002554,00000000,00000000,B,1,1,1,0,0,0,0
970,0000253c,00002544,00002540,B,0,0,1,0,0,0,0
975,00002548,00002550,0000254c,B,0,0,1,0,0,0,0
979,00002554,00000000,00000000,B,1,1,1,0,0,0,0
985,0000253c,00002544,00002540,B,0,0,1,0,0,0,0
990,00002548,00002550,0000254c,B,0,0,1,0,0,0,0
994,00002554,00000000,00000000,B,1,1,1,0,0,0,0
1000,0000253c,00002544,00002540,B,0,0,1,0,0,0,0
1005,00002548,00002550,0000254c,B,0,0,1,0,0,0,0
1009,00002554,00000000,00000000,B,1,1,1,0,0,0,0
1015,0000253c,00002544,00002540,B,0,0,1,0,0,0,0
1020,00002548,00002550,0000254c,B,0,0,1,0,0,0,0
1024,00002554,00000000,00000000,B,1,1,1,0,0,0,0
1030,0000253c,00002544,00002540,B,0,0,1,0,0,0,0
1035,00002548,00002550,0000254c,B,0,0,1,0,0,0,0
1039,00002554,00000000,00000000,B,1,1,1,0,0,0,0
1045,0000253c,00002544,00002540,B,0,0,1,0,0,0,0
1050,00002548,00002550,0000254c,B,0,0,1,0,0,0,0
1054,00002554,00000000,00000000,B,1,1,1,0,0,0,0
1060,0000253c,00002544,00002540,B,0,0,1,0,0,0,0
1065,00002548,00002550,0000254c,B,0,0,1,0,0,0,0
1069,00002554,00000000,00000000,B,1,1,1,0,0,0,0
1075,0000253c,00002544,00002540,B,0,0,1,0,0,0,0
1080,00002548,00002550,0000254c,B,0,0,1,0,0,0,0
1084,00002554,00000000,00000000,B,1,1,1,0,0,0,0
1090,0000253c,00002544,00002540,B,0,0,1,0,0,0,0
1095,00002548,00002550,0000254c,B,0,0,1,0,0,0,0
1099,00002554,00000000,00000000,B,1,1,1,0,0,0,0
1105,0000253c,00002544,00002540,B,0,0,1,0,0,0,0
1110,00002548,00002550,0000254c,B,0,0,1,0,0,0,0
1114,00002554,00000000,00000000,B,1,1,1,0,0,0,0
1120,0000253c,00002544,00002540,B,0,0,1,0,0,0,0
1125,00002548,00002550,0000254c,B,0,0,1,0,0,0,0
1129,00002554,00000000,00000000,B,1,1,1,0,0,0,0
1135,0000253c,00002544,00002540,B,0,0,1,0,0,0,0
1140,00002548,00002550,0000254c,B,0,0,1,0,0,0,0
1144,00002554,00000000,00000000,B,1,1,1,0,0,0,0
1150,0000253c,00002544,00002540,B,0,0,1,0,0,0,0
1155,00002548,00002550,0000254c,B,0,0,1,0,0,0,0
1159,00002554,00000000,00000000,B,1,1,1,0,0,0,0
1165,0000253c,00002544,00002540,B,0,0,1,0,0,0,0
1170,00002548,00002550,0000254c,B,0,0,1,0,0,0,0
1174,00002554,00000000,00000000,B,1,1,1,0,0,0,0
1180,0000253c,00002544,00002540,B,0,0,1,0,0,0,0
1185,00002548,00002550,0000254c,B,0,0,1,0,0,0,0
1189,00002554,00000000,00000000,B,1,1,1,0,0,0,0
1195,0000253c,00002544,00002540,B,0,0,1,0,0,0,0
1200,00002548,00002550,0000254c,B,0,0,1,0,0,0,0
1204,00002554,00000000,00000000,B,1,1,1,0,0,0,0
1210,0000253c,00002544,00002540,B,0,0,1,0,0,0,0
1215,00002548,00002550,0000254c,B,0,0,1,0,0,0,0
1219,00002554,00000000,00000000,B,1,1,1,0,0,0,0
1225,0000253c,00002544,00002540,B,0,0,1,0,0,0,0
1230,00002548,00002550,0000254c,B,0,0,1,0,0,0,0
1234,00002554,00000000,00000000,B,1,1,1,0,0,0,0
1240,0000253c,00002544,00002540,B,0,0,1,0,0,0,0
1245,00002548,00002550,0000254c,B,0,0,1,0,0,0,0
1249,00002554,00000000,00000000,B,1,1,1,0,0,0,0
1255,0000253c,00002544,00002540,B,1,0,0,1,0,0,0
1261,00002668,00000000,00000000,J,1,1,1,0,0,0,0
1271,00002440,00002448,00002444,B,0,0,1,0,0,0,0
1277,00002450,00002458,00002454,B,0,0,1,0,0,0,0
1285,00002464,00000000,00000000,J,1,1,1,0,0,0,0
1288,0000266c,00000000,00000000,J,1,1,1,0,0,0,0
1295,00002548,00002550,0000254c,B,0,0,1,0,0,0,0
1299,00002554,00000000,00000000,B,0,1,0,1,0,0,0
1331,00002590,00002598,00002594,J,1,0,0,1,0,0,0
1338,000020e8,00000000,00000000,J,1,1,1,0,0,0,0
1385,000024d0,000024d8,000024d4,B,0,0,1,0,0,0,0
1399,00002508,00002510,0000250c,B,0,0,1,0,0,0,0
1408,0000251c,00000000,00000000,B,1,1,1,0,0,0,0
1412,00002508,00002510,0000250c,B,0,0,1,0,0,0,0
1421,0000251c,00000000,00000000,B,1,1,1,0,0,0,0
1425,00002508,00002510,0000250c,B,0,0,1,0,0,0,0
1434,0000251c,00000000,00000000,B,1,1,1,0,0,0,0
1438,00002508,00002510,0000250c,B,0,0,1,0,0,0,0
1447,0000251c,00000000,00000000,B,1,1,1,0,0,0,0
1451,00002508,00002510,0000250c,B,0,0,1,0,0,0,0
1460,0000251c,00000000,00000000,B,1,1,1,0,0,0,0
1464,00002508,00002510,0000250c,B,0,0,1,0,0,0,0
1473,0000251c,00000000,00000000,B,1,1,1,0,0,0,0
1477,00002508,00002510,0000250c,B,0,0,1,0,0,0,0
1486,0000251c,00000000,00000000,B,1,1,1,0,0,0,0
1490,00002508,00002510,0000250c,B,0,0,1,0,0,0,0
1499,0000251c,00000000,00000000,B,1,1,1,0,0,0,0
1503,00002508,00002510,0000250c,B,0,0,1,0,0,0,0
