domain,test,result,detail
rv32ui,rv32ui-p-add_nocsr.mem,PASS,"RESULT PASS test_current.mem pc=000001c8 time=3325000"
rv32ui,rv32ui-p-addi_nocsr.mem,PASS,"RESULT PASS test_current.mem pc=000001c8 time=3325000"
rv32ui,rv32ui-p-and_nocsr.mem,PASS,"RESULT PASS test_current.mem pc=000001c8 time=3325000"
rv32ui,rv32ui-p-andi_nocsr.mem,PASS,"RESULT PASS test_current.mem pc=000001c8 time=3325000"
rv32ui,rv32ui-p-auipc_nocsr.mem,PASS,"RESULT PASS test_current.mem pc=000001c8 time=3325000"
rv32ui,rv32ui-p-beq_nocsr.mem,PASS,"RESULT PASS test_current.mem pc=000001c8 time=3325000"
rv32ui,rv32ui-p-bge_nocsr.mem,PASS,"RESULT PASS test_current.mem pc=000001c8 time=3325000"
rv32ui,rv32ui-p-bgeu_nocsr.mem,PASS,"RESULT PASS test_current.mem pc=000001c8 time=3325000"
rv32ui,rv32ui-p-blt_nocsr.mem,PASS,"RESULT PASS test_current.mem pc=000001c8 time=3325000"
rv32ui,rv32ui-p-bltu_nocsr.mem,PASS,"RESULT PASS test_current.mem pc=000001c8 time=3325000"
rv32ui,rv32ui-p-bne_nocsr.mem,PASS,"RESULT PASS test_current.mem pc=000001c8 time=3325000"
rv32ui,rv32ui-p-fence_i_nocsr.mem,PASS,"RESULT PASS test_current.mem pc=000001c8 time=3325000"
rv32ui,rv32ui-p-jal_nocsr.mem,PASS,"RESULT PASS test_current.mem pc=000001c8 time=3325000"
rv32ui,rv32ui-p-jalr_nocsr.mem,PASS,"RESULT PASS test_current.mem pc=000001c8 time=3325000"
rv32ui,rv32ui-p-lb_nocsr.mem,PASS,"RESULT PASS test_current.mem pc=000001c8 time=3325000"
rv32ui,rv32ui-p-lbu_nocsr.mem,PASS,"RESULT PASS test_current.mem pc=000001c8 time=3325000"
rv32ui,rv32ui-p-ld_st_nocsr.mem,PASS,"RESULT PASS test_current.mem pc=000001c8 time=3325000"
rv32ui,rv32ui-p-lh_nocsr.mem,PASS,"RESULT PASS test_current.mem pc=000001c8 time=3325000"
rv32ui,rv32ui-p-lhu_nocsr.mem,PASS,"RESULT PASS test_current.mem pc=000001c8 time=3325000"
rv32ui,rv32ui-p-lui_nocsr.mem,PASS,"RESULT PASS test_current.mem pc=000001c8 time=3325000"
rv32ui,rv32ui-p-lw_nocsr.mem,PASS,"RESULT PASS test_current.mem pc=000001c8 time=3325000"
rv32ui,rv32ui-p-ma_data_nocsr.mem,PASS,"RESULT PASS test_current.mem pc=000001c8 time=3325000"
rv32ui,rv32ui-p-or_nocsr.mem,PASS,"RESULT PASS test_current.mem pc=000001c8 time=3325000"
rv32ui,rv32ui-p-ori_nocsr.mem,PASS,"RESULT PASS test_current.mem pc=000001c8 time=3325000"
rv32ui,rv32ui-p-sb_nocsr.mem,PASS,"RESULT PASS test_current.mem pc=000001c8 time=3325000"
rv32ui,rv32ui-p-sh_nocsr.mem,PASS,"RESULT PASS test_current.mem pc=000001c8 time=3325000"
rv32ui,rv32ui-p-simple_nocsr.mem,PASS,"RESULT PASS test_current.mem pc=000001c8 time=3325000"
rv32ui,rv32ui-p-sll_nocsr.mem,PASS,"RESULT PASS test_current.mem pc=000001c8 time=3325000"
rv32ui,rv32ui-p-slli_nocsr.mem,PASS,"RESULT PASS test_current.mem pc=000001c8 time=3325000"
rv32ui,rv32ui-p-slt_nocsr.mem,PASS,"RESULT PASS test_current.mem pc=000001c8 time=3325000"
rv32ui,rv32ui-p-slti_nocsr.mem,PASS,"RESULT PASS test_current.mem pc=000001c8 time=3325000"
rv32ui,rv32ui-p-sltiu_nocsr.mem,PASS,"RESULT PASS test_current.mem pc=000001c8 time=3325000"
rv32ui,rv32ui-p-sltu_nocsr.mem,PASS,"RESULT PASS test_current.mem pc=000001c8 time=3325000"
