test,result,detail
rv32ui-p-add_nocsr.mem,PASS,"RESULT PASS test_current.mem pc=000005cc time=5685000"
rv32ui-p-addi_nocsr.mem,PASS,"RESULT PASS test_current.mem pc=00000374 time=2975000"
rv32ui-p-and_nocsr.mem,PASS,"RESULT PASS test_current.mem pc=000005a4 time=5905000"
rv32ui-p-andi_nocsr.mem,PASS,"RESULT PASS test_current.mem pc=000002ac time=2535000"
rv32ui-p-auipc_nocsr.mem,PASS,"RESULT PASS test_current.mem pc=00000130 time=855000"
rv32ui-p-beq_nocsr.mem,TIMEOUT,"RESULT TIMEOUT test_current.mem pc=000001dc mem_addr=000001c8 mem_we=0000 mem_wd=00000002"
rv32ui-p-bge_nocsr.mem,TIMEOUT,"RESULT TIMEOUT test_current.mem pc=00000240 mem_addr=00000000 mem_we=0000 mem_wd=00000000"
rv32ui-p-bgeu_nocsr.mem,TIMEOUT,"RESULT TIMEOUT test_current.mem pc=00000000 mem_addr=00000000 mem_we=0000 mem_wd=00000000"
rv32ui-p-blt_nocsr.mem,TIMEOUT,"RESULT TIMEOUT test_current.mem pc=000001dc mem_addr=000001c8 mem_we=0000 mem_wd=00000002"
rv32ui-p-bltu_nocsr.mem,TIMEOUT,"RESULT TIMEOUT test_current.mem pc=000001e0 mem_addr=0000410f mem_we=0000 mem_wd=00000000"
rv32ui-p-bne_nocsr.mem,TIMEOUT,"RESULT TIMEOUT test_current.mem pc=00000000 mem_addr=00000000 mem_we=0000 mem_wd=00000000"
rv32ui-p-fence_i_nocsr.mem,FAIL,"RESULT FAIL test_current.mem code=00000002 pc=000001a4 wb_reg=6 wb_value=00000002 time=995000"
rv32ui-p-jal_nocsr.mem,PASS,"RESULT PASS test_current.mem pc=00000140 time=825000"
rv32ui-p-jalr_nocsr.mem,TIMEOUT,"RESULT TIMEOUT test_current.mem pc=00000000 mem_addr=00000000 mem_we=0000 mem_wd=00000000"
rv32ui-p-lb_nocsr.mem,FAIL,"RESULT FAIL test_current.mem code=00000002 pc=00000344 wb_reg=6 wb_value=00000002 time=1805000"
rv32ui-p-lbu_nocsr.mem,FAIL,"RESULT FAIL test_current.mem code=00000002 pc=00000344 wb_reg=6 wb_value=00000002 time=1805000"
rv32ui-p-ld_st_nocsr.mem,PASS,"RESULT PASS test_current.mem pc=00000f54 time=15915000"
