name,result,time_ns,log
rv32ui-p-add_nocsr.mem,PASS,5445000,rv32ui-p-add_nocsr.log
rv32ui-p-addi_nocsr.mem,PASS,2855000,rv32ui-p-addi_nocsr.log
rv32ui-p-and_nocsr.mem,PASS,5645000,rv32ui-p-and_nocsr.log
rv32ui-p-andi_nocsr.mem,PASS,2415000,rv32ui-p-andi_nocsr.log
rv32ui-p-auipc_nocsr.mem,PASS,855000,rv32ui-p-auipc_nocsr.log
rv32ui-p-beq_nocsr.mem,PASS,4145000,rv32ui-p-beq_nocsr.log
rv32ui-p-bge_nocsr.mem,PASS,4685000,rv32ui-p-bge_nocsr.log
rv32ui-p-bgeu_nocsr.mem,PASS,4935000,rv32ui-p-bgeu_nocsr.log
rv32ui-p-blt_nocsr.mem,PASS,4145000,rv32ui-p-blt_nocsr.log
rv32ui-p-bltu_nocsr.mem,PASS,4395000,rv32ui-p-bltu_nocsr.log
rv32ui-p-bne_nocsr.mem,PASS,4225000,rv32ui-p-bne_nocsr.log
rv32ui-p-fence_i_nocsr.mem,FAIL,,rv32ui-p-fence_i_nocsr.log
rv32ui-p-jal_nocsr.mem,PASS,825000,rv32ui-p-jal_nocsr.log
rv32ui-p-jalr_nocsr.mem,PASS,1825000,rv32ui-p-jalr_nocsr.log
rv32ui-p-lb_nocsr.mem,PASS,3235000,rv32ui-p-lb_nocsr.log
rv32ui-p-lbu_nocsr.mem,PASS,3235000,rv32ui-p-lbu_nocsr.log
rv32ui-p-ld_st_nocsr.mem,PASS,15915000,rv32ui-p-ld_st_nocsr.log
rv32ui-p-lh_nocsr.mem,PASS,3395000,rv32ui-p-lh_nocsr.log
rv32ui-p-lhu_nocsr.mem,PASS,3485000,rv32ui-p-lhu_nocsr.log
rv32ui-p-lui_nocsr.mem,PASS,845000,rv32ui-p-lui_nocsr.log
rv32ui-p-lw_nocsr.mem,PASS,3535000,rv32ui-p-lw_nocsr.log
rv32ui-p-ma_data_nocsr.mem,FAIL,,rv32ui-p-ma_data_nocsr.log
rv32ui-p-or_nocsr.mem,PASS,5675000,rv32ui-p-or_nocsr.log
rv32ui-p-ori_nocsr.mem,PASS,2485000,rv32ui-p-ori_nocsr.log
rv32ui-p-sb_nocsr.mem,PASS,6925000,rv32ui-p-sb_nocsr.log
rv32ui-p-sh_nocsr.mem,PASS,7455000,rv32ui-p-sh_nocsr.log
rv32ui-p-simple_nocsr.mem,PASS,565000,rv32ui-p-simple_nocsr.log
rv32ui-p-sll_nocsr.mem,PASS,5725000,rv32ui-p-sll_nocsr.log
rv32ui-p-slli_nocsr.mem,PASS,2845000,rv32ui-p-slli_nocsr.log
rv32ui-p-slt_nocsr.mem,PASS,5385000,rv32ui-p-slt_nocsr.log
rv32ui-p-slti_nocsr.mem,PASS,2805000,rv32ui-p-slti_nocsr.log
rv32ui-p-sltiu_nocsr.mem,PASS,2805000,rv32ui-p-sltiu_nocsr.log
rv32ui-p-sltu_nocsr.mem,PASS,5385000,rv32ui-p-sltu_nocsr.log
rv32ui-p-sra_nocsr.mem,PASS,5915000,rv32ui-p-sra_nocsr.log
rv32ui-p-srai_nocsr.mem,PASS,2995000,rv32ui-p-srai_nocsr.log
rv32ui-p-srl_nocsr.mem,PASS,5855000,rv32ui-p-srl_nocsr.log
rv32ui-p-srli_nocsr.mem,PASS,2935000,rv32ui-p-srli_nocsr.log
rv32ui-p-st_ld_nocsr.mem,PASS,6745000,rv32ui-p-st_ld_nocsr.log
rv32ui-p-sub_nocsr.mem,PASS,5365000,rv32ui-p-sub_nocsr.log
rv32ui-p-sw_nocsr.mem,PASS,6815000,rv32ui-p-sw_nocsr.log
rv32ui-p-xor_nocsr.mem,PASS,5665000,rv32ui-p-xor_nocsr.log
rv32ui-p-xori_nocsr.mem,PASS,2505000,rv32ui-p-xori_nocsr.log
rv32um-p-div_nocsr.mem,PASS,3345000,rv32um-p-div_nocsr.log
rv32um-p-divu_nocsr.mem,PASS,3355000,rv32um-p-divu_nocsr.log
rv32um-p-mul_nocsr.mem,PASS,14565000,rv32um-p-mul_nocsr.log
rv32um-p-mulh_nocsr.mem,PASS,14205000,rv32um-p-mulh_nocsr.log
rv32um-p-mulhsu_nocsr.mem,PASS,14205000,rv32um-p-mulhsu_nocsr.log
rv32um-p-mulhu_nocsr.mem,PASS,14205000,rv32um-p-mulhu_nocsr.log
rv32um-p-rem_nocsr.mem,PASS,3345000,rv32um-p-rem_nocsr.log
rv32um-p-remu_nocsr.mem,PASS,3345000,rv32um-p-remu_nocsr.log
