"Case","Status","Detail","Log"
"rv32ui-p-add","PASS","RESULT PASS pc=000005cc time=5245000","D:\riscv32_pipeline\riscv32_pipeline.sim\sim_1\behav\xsim\official_verbose_logs_42\rv32ui-p-add_verbose.log"
"rv32ui-p-addi","PASS","RESULT PASS pc=00000374 time=2745000","D:\riscv32_pipeline\riscv32_pipeline.sim\sim_1\behav\xsim\official_verbose_logs_42\rv32ui-p-addi_verbose.log"
"rv32ui-p-and","PASS","RESULT PASS pc=000005a4 time=5445000","D:\riscv32_pipeline\riscv32_pipeline.sim\sim_1\behav\xsim\official_verbose_logs_42\rv32ui-p-and_verbose.log"
"rv32ui-p-andi","PASS","RESULT PASS pc=000002ac time=2305000","D:\riscv32_pipeline\riscv32_pipeline.sim\sim_1\behav\xsim\official_verbose_logs_42\rv32ui-p-andi_verbose.log"
"rv32ui-p-auipc","PASS","RESULT PASS pc=00000130 time=785000","D:\riscv32_pipeline\riscv32_pipeline.sim\sim_1\behav\xsim\official_verbose_logs_42\rv32ui-p-auipc_verbose.log"
"rv32ui-p-beq","PASS","RESULT PASS pc=000003ac time=3835000","D:\riscv32_pipeline\riscv32_pipeline.sim\sim_1\behav\xsim\official_verbose_logs_42\rv32ui-p-beq_verbose.log"
"rv32ui-p-bge","PASS","RESULT PASS pc=0000040c time=4285000","D:\riscv32_pipeline\riscv32_pipeline.sim\sim_1\behav\xsim\official_verbose_logs_42\rv32ui-p-bge_verbose.log"
"rv32ui-p-bgeu","PASS","RESULT PASS pc=00000440 time=4535000","D:\riscv32_pipeline\riscv32_pipeline.sim\sim_1\behav\xsim\official_verbose_logs_42\rv32ui-p-bgeu_verbose.log"
"rv32ui-p-blt","PASS","RESULT PASS pc=000003ac time=3835000","D:\riscv32_pipeline\riscv32_pipeline.sim\sim_1\behav\xsim\official_verbose_logs_42\rv32ui-p-blt_verbose.log"
"rv32ui-p-bltu","PASS","RESULT PASS pc=000003e0 time=4085000","D:\riscv32_pipeline\riscv32_pipeline.sim\sim_1\behav\xsim\official_verbose_logs_42\rv32ui-p-bltu_verbose.log"
"rv32ui-p-bne","PASS","RESULT PASS pc=000003b0 time=3895000","D:\riscv32_pipeline\riscv32_pipeline.sim\sim_1\behav\xsim\official_verbose_logs_42\rv32ui-p-bne_verbose.log"
"rv32ui-p-fence_i","FAIL","RESULT FAIL code=00000002 pc=000001a4 wb_reg=6 wb_value=00000002 time=885000","D:\riscv32_pipeline\riscv32_pipeline.sim\sim_1\behav\xsim\official_verbose_logs_42\rv32ui-p-fence_i_verbose.log"
"rv32ui-p-jal","PASS","RESULT PASS pc=00000140 time=755000","D:\riscv32_pipeline\riscv32_pipeline.sim\sim_1\behav\xsim\official_verbose_logs_42\rv32ui-p-jal_verbose.log"
"rv32ui-p-jalr","PASS","RESULT PASS pc=000001e0 time=1655000","D:\riscv32_pipeline\riscv32_pipeline.sim\sim_1\behav\xsim\official_verbose_logs_42\rv32ui-p-jalr_verbose.log"
"rv32ui-p-lb","PASS","RESULT PASS pc=00000358 time=2885000","D:\riscv32_pipeline\riscv32_pipeline.sim\sim_1\behav\xsim\official_verbose_logs_42\rv32ui-p-lb_verbose.log"
"rv32ui-p-lbu","PASS","RESULT PASS pc=00000358 time=2885000","D:\riscv32_pipeline\riscv32_pipeline.sim\sim_1\behav\xsim\official_verbose_logs_42\rv32ui-p-lbu_verbose.log"
"rv32ui-p-ld_st","PASS","RESULT PASS pc=00000f54 time=11635000","D:\riscv32_pipeline\riscv32_pipeline.sim\sim_1\behav\xsim\official_verbose_logs_42\rv32ui-p-ld_st_verbose.log"
"rv32ui-p-lh","PASS","RESULT PASS pc=00000388 time=3045000","D:\riscv32_pipeline\riscv32_pipeline.sim\sim_1\behav\xsim\official_verbose_logs_42\rv32ui-p-lh_verbose.log"
"rv32ui-p-lhu","PASS","RESULT PASS pc=000003a4 time=3135000","D:\riscv32_pipeline\riscv32_pipeline.sim\sim_1\behav\xsim\official_verbose_logs_42\rv32ui-p-lhu_verbose.log"
"rv32ui-p-lui","PASS","RESULT PASS pc=0000014c time=795000","D:\riscv32_pipeline\riscv32_pipeline.sim\sim_1\behav\xsim\official_verbose_logs_42\rv32ui-p-lui_verbose.log"
"rv32ui-p-lw","PASS","RESULT PASS pc=000003b8 time=3185000","D:\riscv32_pipeline\riscv32_pipeline.sim\sim_1\behav\xsim\official_verbose_logs_42\rv32ui-p-lw_verbose.log"
"rv32ui-p-ma_data","FAIL","RESULT FAIL code=00000002 pc=00000624 wb_reg=6 wb_value=00000002 time=735000","D:\riscv32_pipeline\riscv32_pipeline.sim\sim_1\behav\xsim\official_verbose_logs_42\rv32ui-p-ma_data_verbose.log"
"rv32ui-p-or","PASS","RESULT PASS pc=000005b0 time=5475000","D:\riscv32_pipeline\riscv32_pipeline.sim\sim_1\behav\xsim\official_verbose_logs_42\rv32ui-p-or_verbose.log"
"rv32ui-p-ori","PASS","RESULT PASS pc=000002c8 time=2375000","D:\riscv32_pipeline\riscv32_pipeline.sim\sim_1\behav\xsim\official_verbose_logs_42\rv32ui-p-ori_verbose.log"
"rv32ui-p-sb","PASS","RESULT PASS pc=00000560 time=5635000","D:\riscv32_pipeline\riscv32_pipeline.sim\sim_1\behav\xsim\official_verbose_logs_42\rv32ui-p-sb_verbose.log"
"rv32ui-p-sh","PASS","RESULT PASS pc=000005e4 time=6165000","D:\riscv32_pipeline\riscv32_pipeline.sim\sim_1\behav\xsim\official_verbose_logs_42\rv32ui-p-sh_verbose.log"
"rv32ui-p-simple","PASS","RESULT PASS pc=000000d8 time=525000","D:\riscv32_pipeline\riscv32_pipeline.sim\sim_1\behav\xsim\official_verbose_logs_42\rv32ui-p-simple_verbose.log"
"rv32ui-p-sll","PASS","RESULT PASS pc=0000063c time=5525000","D:\riscv32_pipeline\riscv32_pipeline.sim\sim_1\behav\xsim\official_verbose_logs_42\rv32ui-p-sll_verbose.log"
"rv32ui-p-slli","PASS","RESULT PASS pc=00000370 time=2735000","D:\riscv32_pipeline\riscv32_pipeline.sim\sim_1\behav\xsim\official_verbose_logs_42\rv32ui-p-slli_verbose.log"
"rv32ui-p-slt","PASS","RESULT PASS pc=000005b4 time=5185000","D:\riscv32_pipeline\riscv32_pipeline.sim\sim_1\behav\xsim\official_verbose_logs_42\rv32ui-p-slt_verbose.log"
"rv32ui-p-slti","PASS","RESULT PASS pc=00000360 time=2695000","D:\riscv32_pipeline\riscv32_pipeline.sim\sim_1\behav\xsim\official_verbose_logs_42\rv32ui-p-slti_verbose.log"
"rv32ui-p-sltiu","PASS","RESULT PASS pc=00000360 time=2695000","D:\riscv32_pipeline\riscv32_pipeline.sim\sim_1\behav\xsim\official_verbose_logs_42\rv32ui-p-sltiu_verbose.log"
"rv32ui-p-sltu","PASS","RESULT PASS pc=000005b4 time=5185000","D:\riscv32_pipeline\riscv32_pipeline.sim\sim_1\behav\xsim\official_verbose_logs_42\rv32ui-p-sltu_verbose.log"
"rv32ui-p-sra","PASS","RESULT PASS pc=00000688 time=5715000","D:\riscv32_pipeline\riscv32_pipeline.sim\sim_1\behav\xsim\official_verbose_logs_42\rv32ui-p-sra_verbose.log"
"rv32ui-p-srai","PASS","RESULT PASS pc=000003a4 time=2885000","D:\riscv32_pipeline\riscv32_pipeline.sim\sim_1\behav\xsim\official_verbose_logs_42\rv32ui-p-srai_verbose.log"
"rv32ui-p-srl","PASS","RESULT PASS pc=00000670 time=5655000","D:\riscv32_pipeline\riscv32_pipeline.sim\sim_1\behav\xsim\official_verbose_logs_42\rv32ui-p-srl_verbose.log"
"rv32ui-p-srli","PASS","RESULT PASS pc=0000038c time=2825000","D:\riscv32_pipeline\riscv32_pipeline.sim\sim_1\behav\xsim\official_verbose_logs_42\rv32ui-p-srli_verbose.log"
"rv32ui-p-st_ld","PASS","RESULT PASS pc=000007d4 time=5345000","D:\riscv32_pipeline\riscv32_pipeline.sim\sim_1\behav\xsim\official_verbose_logs_42\rv32ui-p-st_ld_verbose.log"
"rv32ui-p-sub","PASS","RESULT PASS pc=000005ac time=5165000","D:\riscv32_pipeline\riscv32_pipeline.sim\sim_1\behav\xsim\official_verbose_logs_42\rv32ui-p-sub_verbose.log"
