#-----------------------------------------------------------
# xsim v2021.2 (64-bit)
# SW Build 3367213 on Tue Oct 19 02:48:09 MDT 2021
# IP Build 3369179 on Thu Oct 21 08:25:16 MDT 2021
# Start of session at: Fri May  1 23:16:18 2026
# Process ID: 25864
# Current directory: D:/riscv32_pipeline/riscv32_pipeline.sim/sim_1/behav/xsim
# Command line: xsim.exe -log simulate_official_plus_beq_trace.log -mode tcl -source {xsim.dir/tb_official_plus_behav/xsim_script.tcl}
# Log file: D:/riscv32_pipeline/riscv32_pipeline.sim/sim_1/behav/xsim/simulate_official_plus_beq_trace.log
# Journal file: D:/riscv32_pipeline/riscv32_pipeline.sim/sim_1/behav/xsim\xsim.jou
# Running On: WDDdLaptop, OS: Windows, CPU Frequency: 3194 MHz, CPU Physical cores: 16, Host memory: 16366 MB
#-----------------------------------------------------------
source xsim.dir/tb_official_plus_behav/xsim_script.tcl
# xsim {tb_official_plus_behav} -autoloadwcfg -tclbatch {run_all_coremark.tcl}
Time resolution is 1 ps
source run_all_coremark.tcl
## run all
WARNING: This core is supplied with a behavioral model. To model cycle-accurate behavior you must run timing simulation.
>>> Reset released, official test starts. mem=                                                                                                               official_test.mem
TRACE[1] pc=00000000 wb_ena=1 wb_reg=0 wb_value=00000004 mem_we=0 mem_addr=00000000 mem_wd=00000000
TRACE[2] pc=00000000 wb_ena=1 wb_reg=0 wb_value=00000000 mem_we=0 mem_addr=00000000 mem_wd=00000000
TRACE[3] pc=00000054 wb_ena=1 wb_reg=1 wb_value=00000000 mem_we=0 mem_addr=00000000 mem_wd=00000000
TRACE[4] pc=00000058 wb_ena=1 wb_reg=2 wb_value=00000000 mem_we=0 mem_addr=00000000 mem_wd=00000000
TRACE[5] pc=0000005c wb_ena=1 wb_reg=3 wb_value=00000000 mem_we=0 mem_addr=00000000 mem_wd=00000000
TRACE[6] pc=00000060 wb_ena=1 wb_reg=4 wb_value=00000000 mem_we=0 mem_addr=00000000 mem_wd=00000000
TRACE[7] pc=00000064 wb_ena=1 wb_reg=5 wb_value=00000000 mem_we=0 mem_addr=00000000 mem_wd=00000000
TRACE[8] pc=00000068 wb_ena=1 wb_reg=6 wb_value=00000000 mem_we=0 mem_addr=00000000 mem_wd=00000000
TRACE[9] pc=0000006c wb_ena=1 wb_reg=7 wb_value=00000000 mem_we=0 mem_addr=00000000 mem_wd=00000000
TRACE[10] pc=00000070 wb_ena=1 wb_reg=8 wb_value=00000000 mem_we=0 mem_addr=00000000 mem_wd=00000000
TRACE[11] pc=00000074 wb_ena=1 wb_reg=9 wb_value=00000000 mem_we=0 mem_addr=00000000 mem_wd=00000000
TRACE[12] pc=00000078 wb_ena=1 wb_reg=10 wb_value=00000000 mem_we=0 mem_addr=00000000 mem_wd=00000000
TRACE[13] pc=0000007c wb_ena=1 wb_reg=11 wb_value=00000000 mem_we=0 mem_addr=00000000 mem_wd=00000000
TRACE[14] pc=00000080 wb_ena=1 wb_reg=12 wb_value=00000000 mem_we=0 mem_addr=00000000 mem_wd=00000000
TRACE[15] pc=00000084 wb_ena=1 wb_reg=13 wb_value=00000000 mem_we=0 mem_addr=00000000 mem_wd=00000000
TRACE[16] pc=00000088 wb_ena=1 wb_reg=14 wb_value=00000000 mem_we=0 mem_addr=00000000 mem_wd=00000000
TRACE[17] pc=0000008c wb_ena=1 wb_reg=15 wb_value=00000000 mem_we=0 mem_addr=00000000 mem_wd=00000000
TRACE[18] pc=00000090 wb_ena=1 wb_reg=16 wb_value=00000000 mem_we=0 mem_addr=00000000 mem_wd=00000000
TRACE[19] pc=00000094 wb_ena=1 wb_reg=17 wb_value=00000000 mem_we=0 mem_addr=00000000 mem_wd=00000000
TRACE[20] pc=00000098 wb_ena=1 wb_reg=18 wb_value=00000000 mem_we=0 mem_addr=00000000 mem_wd=00000000
TRACE[21] pc=0000009c wb_ena=1 wb_reg=19 wb_value=00000000 mem_we=0 mem_addr=00000000 mem_wd=00000000
